Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
M8,Edge Chromium 116,,,2023-09-06 08:54:06,2023-09-06 09:04:22,10m - 15.748s,ERROR
,,,,,,,
Test Cases/M08 - Employees - List and Add Employees/M08 - Employees - List and Add Employees - 001,Edge Chromium 116,,,2023-09-06 08:54:06,2023-09-06 08:54:17,10.935s,PASSED
openBrowser(url),Edge Chromium 116,,,2023-09-06 08:54:07,2023-09-06 08:54:12,5.118s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-06 08:54:12,2023-09-06 08:54:12,0.361s,PASSED
"setText(findTestObject(""Master/input_email""), email)",Edge Chromium 116,,,2023-09-06 08:54:12,2023-09-06 08:54:13,0.949s,PASSED
"setEncryptedText(findTestObject(""Master/input_password""), pass)",Edge Chromium 116,,,2023-09-06 08:54:13,2023-09-06 08:54:14,0.556s,PASSED
"click(findTestObject(""Master/button_login""))",Edge Chromium 116,,,2023-09-06 08:54:14,2023-09-06 08:54:17,2.886s,PASSED
"verifyElementPresent(findTestObject(""Master/dashboard""), 0)",Edge Chromium 116,,,2023-09-06 08:54:17,2023-09-06 08:54:17,0.505s,PASSED
,,,,,,,
Test Cases/M08 - Employees - List and Add Employees/M08 - Employees - List and Add Employees - 002,Edge Chromium 116,,,2023-09-06 08:54:17,2023-09-06 08:54:28,11.265s,PASSED
"callTestCase(findTestCase(""M08 - Employees - List and Add Employees/M08 - Employees - List and Add Employees - 001""), [""email"":""superadmin@mail.com"", ""pass"":""p4y+y39Ir5Pc2g9xt3QkeQ==""], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 08:54:17,2023-09-06 08:54:26,8.707s,PASSED
"click(findTestObject(""Edit Employee Experience/employee_sidebar""))",Edge Chromium 116,,,2023-09-06 08:54:26,2023-09-06 08:54:27,0.756s,PASSED
"click(findTestObject(""Edit Employee Experience/dropdown_employee""))",Edge Chromium 116,,,2023-09-06 08:54:27,2023-09-06 08:54:28,0.992s,PASSED
"verifyElementPresent(findTestObject(""Edit Employee Experience/title_Employee""), 0)",Edge Chromium 116,,,2023-09-06 08:54:28,2023-09-06 08:54:28,0.481s,PASSED
,,,,,,,
Test Cases/M08 - Employees - List and Add Employees/M08 - Employees - List and Add Employees - 003,Edge Chromium 116,,,2023-09-06 08:54:28,2023-09-06 08:54:41,12.533s,PASSED
"callTestCase(findTestCase(""M08 - Employees - List and Add Employees/M08 - Employees - List and Add Employees - 002""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 08:54:29,2023-09-06 08:54:40,10.947s,PASSED
"click(findTestObject(""Add Employee/button_add_employee""))",Edge Chromium 116,,,2023-09-06 08:54:40,2023-09-06 08:54:40,0.744s,PASSED
"verifyElementPresent(findTestObject(""Add Employee/title_Employee List""), 0)",Edge Chromium 116,,,2023-09-06 08:54:40,2023-09-06 08:54:41,0.545s,PASSED
,,,,,,,
